DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2025,EQ,"2,204.80","2,219.00","2,195.00","2,203.20","2,215.80","2,214.70","2,209.11","2,695.00","2,026.55","9,35,026","2,06,55,78,919.20","45,283"
29-Dec-2025,EQ,"2,232.00","2,238.20","2,196.00","2,229.90","2,201.00","2,203.20","2,214.63","2,695.00","2,026.55","6,90,691","1,52,96,24,287.80","27,113"
26-Dec-2025,EQ,"2,229.30","2,250.90","2,218.00","2,222.70","2,231.00","2,229.90","2,235.41","2,695.00","2,026.55","5,66,237","1,26,57,71,289.40","24,388"
24-Dec-2025,EQ,"2,250.00","2,258.80","2,217.40","2,248.80","2,218.00","2,222.70","2,238.00","2,695.00","2,026.55","8,25,693","1,84,79,03,492.60","27,346"
23-Dec-2025,EQ,"2,272.50","2,273.60","2,245.00","2,263.50","2,246.70","2,248.80","2,256.97","2,695.00","2,026.55","4,50,112","1,01,58,91,130.10","23,215"
22-Dec-2025,EQ,"2,260.00","2,274.00","2,245.90","2,239.00","2,261.00","2,263.50","2,262.46","2,695.00","2,026.55","5,99,195","1,35,56,54,772.10","28,721"
19-Dec-2025,EQ,"2,249.00","2,250.00","2,210.00","2,229.30","2,243.90","2,239.00","2,230.79","2,695.00","2,026.55","8,80,005","1,96,31,05,928.60","31,918"
18-Dec-2025,EQ,"2,236.40","2,245.00","2,211.10","2,232.50","2,228.20","2,229.30","2,230.17","2,695.00","2,026.55","5,08,238","1,13,34,59,577.00","25,318"
17-Dec-2025,EQ,"2,247.60","2,255.00","2,221.00","2,247.90","2,232.00","2,232.50","2,234.72","2,695.00","2,026.55","6,51,509","1,45,59,41,593.40","34,504"
16-Dec-2025,EQ,"2,270.00","2,276.80","2,232.10","2,278.90","2,242.00","2,247.90","2,248.44","2,695.00","2,026.55","6,54,714","1,47,20,87,723.50","34,760"
15-Dec-2025,EQ,"2,282.40","2,300.00","2,273.00","2,282.40","2,280.00","2,278.90","2,284.25","2,695.00","2,026.55","5,73,027","1,30,89,37,776.50","29,762"
12-Dec-2025,EQ,"2,277.70","2,296.80","2,270.20","2,277.70","2,284.00","2,282.40","2,282.72","2,695.00","2,026.55","9,29,199","2,12,10,97,905.50","31,417"
11-Dec-2025,EQ,"2,225.00","2,293.90","2,192.40","2,211.60","2,270.20","2,277.70","2,255.58","2,695.00","2,026.55","15,19,832","3,42,80,97,974.70","52,376"
10-Dec-2025,EQ,"2,255.80","2,267.50","2,204.10","2,245.20","2,213.90","2,211.60","2,239.02","2,695.00","2,026.55","9,35,149","2,09,38,15,467.20","37,803"
09-Dec-2025,EQ,"2,216.20","2,257.00","2,178.40","2,216.20","2,250.00","2,245.20","2,226.67","2,695.00","2,026.55","12,27,728","2,73,37,43,787.50","51,676"
08-Dec-2025,EQ,"2,265.40","2,270.40","2,205.00","2,265.40","2,212.00","2,216.20","2,229.82","2,695.00","2,026.55","9,39,764","2,09,55,07,637.40","43,380"
05-Dec-2025,EQ,"2,217.90","2,268.60","2,202.90","2,217.90","2,263.00","2,265.40","2,240.36","2,695.00","2,026.55","24,00,781","5,37,86,17,390.10","67,680"
04-Dec-2025,EQ,"2,188.00","2,231.70","2,183.40","2,189.80","2,216.80","2,217.90","2,212.67","2,695.00","2,026.55","25,22,821","5,58,21,64,676.50","67,347"
03-Dec-2025,EQ,"2,240.00","2,245.00","2,172.20","2,239.60","2,191.60","2,189.80","2,204.17","2,695.00","2,026.55","16,43,852","3,62,33,24,401.50","63,240"
02-Dec-2025,EQ,"2,255.00","2,267.20","2,232.20","2,262.00","2,239.00","2,239.60","2,244.60","2,695.00","2,026.55","10,35,354","2,32,39,54,576.80","46,209"
01-Dec-2025,EQ,"2,300.00","2,304.00","2,257.00","2,280.20","2,259.90","2,262.00","2,277.13","2,695.00","2,026.55","13,13,265","2,99,04,80,473.90","42,480"
28-Nov-2025,EQ,"2,267.10","2,331.00","2,247.80","2,255.00","2,282.00","2,280.20","2,295.96","2,695.00","2,026.55","30,37,620","6,97,42,39,041.90","86,014"
27-Nov-2025,EQ,"2,310.00","2,320.50","2,243.00","2,315.00","2,249.00","2,255.00","2,283.07","2,695.00","2,026.55","14,74,038","3,36,53,31,849.20","61,990"
26-Nov-2025,EQ,"2,321.20","2,357.00","2,310.00","2,332.90","2,313.90","2,315.00","2,334.95","2,695.00","2,026.55","10,26,965","2,39,79,08,624.00","47,392"
25-Nov-2025,EQ,"2,400.90","2,407.70","2,325.30","2,399.20","2,329.40","2,332.90","2,364.69","2,695.00","2,026.55","22,23,715","5,25,84,03,085.60","69,285"
24-Nov-2025,EQ,"2,426.20","2,432.30","2,393.10","2,422.30","2,398.90","2,399.20","2,409.75","2,695.00","2,026.55","6,91,419","1,66,61,49,264.10","32,464"
